,image,papyri,original,position,fragment,patch
40,109450_109450_0_7.png,109450,0_10945_4107IR.png,0,109450_0,7
41,109450_109450_0_8.png,109450,0_10945_4107IR.png,0,109450_0,8
42,109450_109450_0_9.png,109450,0_10945_4107IR.png,0,109450_0,9
43,109450_109450_0_10.png,109450,0_10945_4107IR.png,0,109450_0,10
44,109450_109450_0_11.png,109450,0_10945_4107IR.png,0,109450_0,11
45,109450_109450_0_12.png,109450,0_10945_4107IR.png,0,109450_0,12
46,109450_109450_0_13.png,109450,0_10945_4107IR.png,0,109450_0,13
47,109450_109450_0_14.png,109450,0_10945_4107IR.png,0,109450_0,14
48,109450_109450_0_15.png,109450,0_10945_4107IR.png,0,109450_0,15
49,109450_109450_0_16.png,109450,0_10945_4107IR.png,0,109450_0,16
50,109450_109450_0_17.png,109450,0_10945_4107IR.png,0,109450_0,17
51,109450_109450_0_18.png,109450,0_10945_4107IR.png,0,109450_0,18
52,109450_109450_0_19.png,109450,0_10945_4107IR.png,0,109450_0,19
53,139300_139300_0_0.png,139300,0_13930_4816DR.png,0,139300_0,0
54,139300_139300_0_1.png,139300,0_13930_4816DR.png,0,139300_0,1
55,139300_139300_0_2.png,139300,0_13930_4816DR.png,0,139300_0,2
56,139300_139300_0_3.png,139300,0_13930_4816DR.png,0,139300_0,3
57,139300_139300_0_4.png,139300,0_13930_4816DR.png,0,139300_0,4
58,139300_139300_0_5.png,139300,0_13930_4816DR.png,0,139300_0,5
59,139300_139300_0_6.png,139300,0_13930_4816DR.png,0,139300_0,6
60,139300_139300_0_7.png,139300,0_13930_4816DR.png,0,139300_0,7
61,139300_139300_0_8.png,139300,0_13930_4816DR.png,0,139300_0,8
62,139300_139300_0_9.png,139300,0_13930_4816DR.png,0,139300_0,9
63,139300_139300_0_10.png,139300,0_13930_4816DR.png,0,139300_0,10
64,139300_139300_0_11.png,139300,0_13930_4816DR.png,0,139300_0,11
65,139300_139300_0_12.png,139300,0_13930_4816DR.png,0,139300_0,12
66,139300_139300_0_13.png,139300,0_13930_4816DR.png,0,139300_0,13
67,139300_139300_0_14.png,139300,0_13930_4816DR.png,0,139300_0,14
68,139300_139300_0_15.png,139300,0_13930_4816DR.png,0,139300_0,15
69,139171_139171_5_0.png,139171,5_13917_4807EV.png,1,139171_5,0
70,139171_139171_5_1.png,139171,5_13917_4807EV.png,1,139171_5,1
71,139171_139171_5_2.png,139171,5_13917_4807EV.png,1,139171_5,2
72,139171_139171_5_3.png,139171,5_13917_4807EV.png,1,139171_5,3
73,141381_141381_1_0.png,141381,1_14138_5188GV.png,1,141381_1,0
74,141381_141381_1_1.png,141381,1_14138_5188GV.png,1,141381_1,1
75,124041_124041_1_0.png,124041,1_12404_3936CV.png,1,124041_1,0
76,124041_124041_1_1.png,124041,1_12404_3936CV.png,1,124041_1,1
77,124041_124041_1_2.png,124041,1_12404_3936CV.png,1,124041_1,2
78,124041_124041_1_3.png,124041,1_12404_3936CV.png,1,124041_1,3
79,124041_124041_1_4.png,124041,1_12404_3936CV.png,1,124041_1,4
80,124041_124041_1_5.png,124041,1_12404_3936CV.png,1,124041_1,5
81,124041_124041_1_6.png,124041,1_12404_3936CV.png,1,124041_1,6
82,124041_124041_1_7.png,124041,1_12404_3936CV.png,1,124041_1,7
83,124041_124041_1_8.png,124041,1_12404_3936CV.png,1,124041_1,8
84,124041_124041_1_9.png,124041,1_12404_3936CV.png,1,124041_1,9
85,124041_124041_1_10.png,124041,1_12404_3936CV.png,1,124041_1,10
86,124041_124041_1_11.png,124041,1_12404_3936CV.png,1,124041_1,11
87,124041_124041_1_12.png,124041,1_12404_3936CV.png,1,124041_1,12
88,124041_124041_1_13.png,124041,1_12404_3936CV.png,1,124041_1,13
89,124041_124041_1_14.png,124041,1_12404_3936CV.png,1,124041_1,14
90,124041_124041_1_15.png,124041,1_12404_3936CV.png,1,124041_1,15
91,124041_124041_1_16.png,124041,1_12404_3936CV.png,1,124041_1,16
92,124041_124041_1_17.png,124041,1_12404_3936CV.png,1,124041_1,17
93,124041_124041_1_18.png,124041,1_12404_3936CV.png,1,124041_1,18
94,124041_124041_1_19.png,124041,1_12404_3936CV.png,1,124041_1,19
95,133780_133780_1_0.png,133780,1_13378_4491CR.png,0,133780_1,0
96,133780_133780_1_1.png,133780,1_13378_4491CR.png,0,133780_1,1
97,107751_107751_1_0.png,107751,1_10775_4098KV.png,1,107751_1,0
98,107751_107751_1_1.png,107751,1_10775_4098KV.png,1,107751_1,1
99,107751_107751_1_2.png,107751,1_10775_4098KV.png,1,107751_1,2
100,107751_107751_1_3.png,107751,1_10775_4098KV.png,1,107751_1,3
101,107751_107751_1_4.png,107751,1_10775_4098KV.png,1,107751_1,4
102,107751_107751_1_5.png,107751,1_10775_4098KV.png,1,107751_1,5
103,107751_107751_1_6.png,107751,1_10775_4098KV.png,1,107751_1,6
104,107751_107751_1_7.png,107751,1_10775_4098KV.png,1,107751_1,7
105,107751_107751_1_8.png,107751,1_10775_4098KV.png,1,107751_1,8
106,107751_107751_1_9.png,107751,1_10775_4098KV.png,1,107751_1,9
107,107751_107751_1_10.png,107751,1_10775_4098KV.png,1,107751_1,10
108,107751_107751_1_11.png,107751,1_10775_4098KV.png,1,107751_1,11
109,107751_107751_1_12.png,107751,1_10775_4098KV.png,1,107751_1,12
110,107751_107751_1_13.png,107751,1_10775_4098KV.png,1,107751_1,13
111,107751_107751_1_14.png,107751,1_10775_4098KV.png,1,107751_1,14
112,107751_107751_1_15.png,107751,1_10775_4098KV.png,1,107751_1,15
113,140160_140160_13_0.png,140160,13_14016_4914BR.png,0,140160_13,0
114,140160_140160_13_1.png,140160,13_14016_4914BR.png,0,140160_13,1
115,140160_140160_13_2.png,140160,13_14016_4914BR.png,0,140160_13,2
116,140160_140160_13_3.png,140160,13_14016_4914BR.png,0,140160_13,3
117,139791_139791_4_0.png,139791,4_13979_4877DV.png,1,139791_4,0
118,139791_139791_4_1.png,139791,4_13979_4877DV.png,1,139791_4,1
119,139791_139791_4_2.png,139791,4_13979_4877DV.png,1,139791_4,2
120,139791_139791_4_3.png,139791,4_13979_4877DV.png,1,139791_4,3
121,139791_139791_4_4.png,139791,4_13979_4877DV.png,1,139791_4,4
122,139791_139791_4_5.png,139791,4_13979_4877DV.png,1,139791_4,5
123,139791_139791_4_6.png,139791,4_13979_4877DV.png,1,139791_4,6
124,139791_139791_4_7.png,139791,4_13979_4877DV.png,1,139791_4,7
125,139311_139311_6_0.png,139311,6_13931_4816EV.png,1,139311_6,0
126,139311_139311_6_1.png,139311,6_13931_4816EV.png,1,139311_6,1
127,139311_139311_6_2.png,139311,6_13931_4816EV.png,1,139311_6,2
128,139311_139311_6_3.png,139311,6_13931_4816EV.png,1,139311_6,3
129,139311_139311_6_4.png,139311,6_13931_4816EV.png,1,139311_6,4
130,139311_139311_6_5.png,139311,6_13931_4816EV.png,1,139311_6,5
131,139311_139311_6_6.png,139311,6_13931_4816EV.png,1,139311_6,6
132,139311_139311_6_7.png,139311,6_13931_4816EV.png,1,139311_6,7
133,139311_139311_6_8.png,139311,6_13931_4816EV.png,1,139311_6,8
134,139311_139311_6_9.png,139311,6_13931_4816EV.png,1,139311_6,9
135,139311_139311_6_10.png,139311,6_13931_4816EV.png,1,139311_6,10
136,139681_139681_0_0.png,139681,0_13968_4874CV.png,1,139681_0,0
137,139681_139681_0_1.png,139681,0_13968_4874CV.png,1,139681_0,1
138,139681_139681_0_2.png,139681,0_13968_4874CV.png,1,139681_0,2
139,139681_139681_0_3.png,139681,0_13968_4874CV.png,1,139681_0,3
140,139681_139681_0_4.png,139681,0_13968_4874CV.png,1,139681_0,4
141,139681_139681_0_5.png,139681,0_13968_4874CV.png,1,139681_0,5
142,139681_139681_0_6.png,139681,0_13968_4874CV.png,1,139681_0,6
143,139681_139681_0_7.png,139681,0_13968_4874CV.png,1,139681_0,7
144,139681_139681_0_8.png,139681,0_13968_4874CV.png,1,139681_0,8
145,46600_46600_2_0.png,46600,2_4660_1835R.png,0,46600_2,0
146,46600_46600_2_1.png,46600,2_4660_1835R.png,0,46600_2,1
147,46600_46600_2_2.png,46600,2_4660_1835R.png,0,46600_2,2
148,46600_46600_2_3.png,46600,2_4660_1835R.png,0,46600_2,3
149,46600_46600_2_4.png,46600,2_4660_1835R.png,0,46600_2,4
150,46600_46600_2_5.png,46600,2_4660_1835R.png,0,46600_2,5
151,46600_46600_2_6.png,46600,2_4660_1835R.png,0,46600_2,6
152,46600_46600_2_7.png,46600,2_4660_1835R.png,0,46600_2,7
153,46600_46600_2_8.png,46600,2_4660_1835R.png,0,46600_2,8
154,46600_46600_2_9.png,46600,2_4660_1835R.png,0,46600_2,9
155,46600_46600_2_10.png,46600,2_4660_1835R.png,0,46600_2,10
156,46600_46600_2_11.png,46600,2_4660_1835R.png,0,46600_2,11
157,46600_46600_2_12.png,46600,2_4660_1835R.png,0,46600_2,12
158,46600_46600_2_13.png,46600,2_4660_1835R.png,0,46600_2,13
159,46600_46600_2_14.png,46600,2_4660_1835R.png,0,46600_2,14
160,46600_46600_2_15.png,46600,2_4660_1835R.png,0,46600_2,15
161,46600_46600_2_16.png,46600,2_4660_1835R.png,0,46600_2,16
162,46600_46600_2_17.png,46600,2_4660_1835R.png,0,46600_2,17
163,46600_46600_2_18.png,46600,2_4660_1835R.png,0,46600_2,18
164,46600_46600_2_19.png,46600,2_4660_1835R.png,0,46600_2,19
165,139601_139601_4_0.png,139601,4_13960_4873DV.png,1,139601_4,0
166,139601_139601_4_1.png,139601,4_13960_4873DV.png,1,139601_4,1
167,139601_139601_4_2.png,139601,4_13960_4873DV.png,1,139601_4,2
168,139601_139601_4_3.png,139601,4_13960_4873DV.png,1,139601_4,3
169,139601_139601_4_4.png,139601,4_13960_4873DV.png,1,139601_4,4
170,139601_139601_4_5.png,139601,4_13960_4873DV.png,1,139601_4,5
171,139601_139601_4_6.png,139601,4_13960_4873DV.png,1,139601_4,6
172,139601_139601_4_7.png,139601,4_13960_4873DV.png,1,139601_4,7
173,139601_139601_4_8.png,139601,4_13960_4873DV.png,1,139601_4,8
174,139601_139601_4_9.png,139601,4_13960_4873DV.png,1,139601_4,9
175,139601_139601_4_10.png,139601,4_13960_4873DV.png,1,139601_4,10
176,109801_109801_1_0.png,109801,1_10980_4110AV.png,1,109801_1,0
177,109801_109801_1_1.png,109801,1_10980_4110AV.png,1,109801_1,1
178,109801_109801_1_2.png,109801,1_10980_4110AV.png,1,109801_1,2
179,109801_109801_1_3.png,109801,1_10980_4110AV.png,1,109801_1,3
180,109801_109801_1_4.png,109801,1_10980_4110AV.png,1,109801_1,4
181,109801_109801_1_5.png,109801,1_10980_4110AV.png,1,109801_1,5
182,109801_109801_1_6.png,109801,1_10980_4110AV.png,1,109801_1,6
183,109801_109801_1_7.png,109801,1_10980_4110AV.png,1,109801_1,7
184,109801_109801_1_8.png,109801,1_10980_4110AV.png,1,109801_1,8
185,109801_109801_1_9.png,109801,1_10980_4110AV.png,1,109801_1,9
186,109801_109801_1_10.png,109801,1_10980_4110AV.png,1,109801_1,10
187,109801_109801_1_11.png,109801,1_10980_4110AV.png,1,109801_1,11
188,109801_109801_1_12.png,109801,1_10980_4110AV.png,1,109801_1,12
189,109801_109801_1_13.png,109801,1_10980_4110AV.png,1,109801_1,13
190,109801_109801_1_14.png,109801,1_10980_4110AV.png,1,109801_1,14
191,109801_109801_1_15.png,109801,1_10980_4110AV.png,1,109801_1,15
192,88720_88720_1_0.png,88720,1_8872_3538R.png,0,88720_1,0
193,88720_88720_1_1.png,88720,1_8872_3538R.png,0,88720_1,1
194,88720_88720_1_2.png,88720,1_8872_3538R.png,0,88720_1,2
195,88720_88720_1_3.png,88720,1_8872_3538R.png,0,88720_1,3
196,88720_88720_1_4.png,88720,1_8872_3538R.png,0,88720_1,4
197,88720_88720_1_5.png,88720,1_8872_3538R.png,0,88720_1,5
198,88720_88720_1_6.png,88720,1_8872_3538R.png,0,88720_1,6
199,88720_88720_1_7.png,88720,1_8872_3538R.png,0,88720_1,7
200,88720_88720_1_8.png,88720,1_8872_3538R.png,0,88720_1,8
201,88720_88720_1_9.png,88720,1_8872_3538R.png,0,88720_1,9
202,128451_128451_1_0.png,128451,1_12845_4433SV.png,1,128451_1,0
203,128451_128451_1_1.png,128451,1_12845_4433SV.png,1,128451_1,1
204,128451_128451_1_2.png,128451,1_12845_4433SV.png,1,128451_1,2
205,128451_128451_1_3.png,128451,1_12845_4433SV.png,1,128451_1,3
206,128451_128451_1_4.png,128451,1_12845_4433SV.png,1,128451_1,4
207,128451_128451_1_5.png,128451,1_12845_4433SV.png,1,128451_1,5
208,128451_128451_1_6.png,128451,1_12845_4433SV.png,1,128451_1,6
209,128451_128451_1_7.png,128451,1_12845_4433SV.png,1,128451_1,7
210,120510_120510_2_0.png,120510,2_12051_4237QR.png,0,120510_2,0
211,120510_120510_2_1.png,120510,2_12051_4237QR.png,0,120510_2,1
212,120510_120510_2_2.png,120510,2_12051_4237QR.png,0,120510_2,2
213,120510_120510_2_3.png,120510,2_12051_4237QR.png,0,120510_2,3
214,120510_120510_2_4.png,120510,2_12051_4237QR.png,0,120510_2,4
215,120510_120510_2_5.png,120510,2_12051_4237QR.png,0,120510_2,5
216,120510_120510_2_6.png,120510,2_12051_4237QR.png,0,120510_2,6
217,120510_120510_2_7.png,120510,2_12051_4237QR.png,0,120510_2,7
218,120510_120510_2_8.png,120510,2_12051_4237QR.png,0,120510_2,8
219,120510_120510_2_9.png,120510,2_12051_4237QR.png,0,120510_2,9
220,120510_120510_2_10.png,120510,2_12051_4237QR.png,0,120510_2,10
221,120510_120510_2_11.png,120510,2_12051_4237QR.png,0,120510_2,11
222,120510_120510_2_12.png,120510,2_12051_4237QR.png,0,120510_2,12
223,120510_120510_2_13.png,120510,2_12051_4237QR.png,0,120510_2,13
224,141140_141140_0_0.png,141140,0_14114_5121ER.png,0,141140_0,0
225,141140_141140_0_1.png,141140,0_14114_5121ER.png,0,141140_0,1
226,141140_141140_0_2.png,141140,0_14114_5121ER.png,0,141140_0,2
227,141140_141140_0_3.png,141140,0_14114_5121ER.png,0,141140_0,3
228,141140_141140_0_4.png,141140,0_14114_5121ER.png,0,141140_0,4
229,141140_141140_0_5.png,141140,0_14114_5121ER.png,0,141140_0,5
230,141140_141140_0_6.png,141140,0_14114_5121ER.png,0,141140_0,6
231,141140_141140_0_7.png,141140,0_14114_5121ER.png,0,141140_0,7
232,141140_141140_0_8.png,141140,0_14114_5121ER.png,0,141140_0,8
233,141140_141140_0_9.png,141140,0_14114_5121ER.png,0,141140_0,9
234,141140_141140_0_10.png,141140,0_14114_5121ER.png,0,141140_0,10
235,141140_141140_0_11.png,141140,0_14114_5121ER.png,0,141140_0,11
236,141140_141140_0_12.png,141140,0_14114_5121ER.png,0,141140_0,12
237,141140_141140_0_13.png,141140,0_14114_5121ER.png,0,141140_0,13
238,141140_141140_0_14.png,141140,0_14114_5121ER.png,0,141140_0,14
239,141140_141140_0_15.png,141140,0_14114_5121ER.png,0,141140_0,15
240,141140_141140_0_16.png,141140,0_14114_5121ER.png,0,141140_0,16
241,128061_128061_0_0.png,128061,0_12806_4419DV.png,1,128061_0,0
242,128061_128061_0_1.png,128061,0_12806_4419DV.png,1,128061_0,1
243,128061_128061_0_2.png,128061,0_12806_4419DV.png,1,128061_0,2
244,128061_128061_0_3.png,128061,0_12806_4419DV.png,1,128061_0,3
245,128061_128061_0_4.png,128061,0_12806_4419DV.png,1,128061_0,4
246,128061_128061_0_5.png,128061,0_12806_4419DV.png,1,128061_0,5
247,128061_128061_0_6.png,128061,0_12806_4419DV.png,1,128061_0,6
248,128061_128061_0_7.png,128061,0_12806_4419DV.png,1,128061_0,7
249,128061_128061_0_8.png,128061,0_12806_4419DV.png,1,128061_0,8
250,128061_128061_0_9.png,128061,0_12806_4419DV.png,1,128061_0,9
251,128061_128061_0_10.png,128061,0_12806_4419DV.png,1,128061_0,10
252,128061_128061_0_11.png,128061,0_12806_4419DV.png,1,128061_0,11
253,128061_128061_0_12.png,128061,0_12806_4419DV.png,1,128061_0,12
254,128061_128061_0_13.png,128061,0_12806_4419DV.png,1,128061_0,13
255,128061_128061_0_14.png,128061,0_12806_4419DV.png,1,128061_0,14
256,128061_128061_0_15.png,128061,0_12806_4419DV.png,1,128061_0,15
257,128061_128061_0_16.png,128061,0_12806_4419DV.png,1,128061_0,16
258,128061_128061_0_17.png,128061,0_12806_4419DV.png,1,128061_0,17
259,128061_128061_0_18.png,128061,0_12806_4419DV.png,1,128061_0,18
260,128061_128061_0_19.png,128061,0_12806_4419DV.png,1,128061_0,19
261,102600_102600_0_0.png,102600,0_10260_3796R1.png,0,102600_0,0
262,102600_102600_0_1.png,102600,0_10260_3796R1.png,0,102600_0,1
263,102600_102600_0_2.png,102600,0_10260_3796R1.png,0,102600_0,2
264,102600_102600_0_3.png,102600,0_10260_3796R1.png,0,102600_0,3
265,102600_102600_0_4.png,102600,0_10260_3796R1.png,0,102600_0,4
266,102600_102600_0_5.png,102600,0_10260_3796R1.png,0,102600_0,5
267,102600_102600_0_6.png,102600,0_10260_3796R1.png,0,102600_0,6
268,102600_102600_0_7.png,102600,0_10260_3796R1.png,0,102600_0,7
269,102600_102600_0_8.png,102600,0_10260_3796R1.png,0,102600_0,8
270,102600_102600_0_9.png,102600,0_10260_3796R1.png,0,102600_0,9
271,102600_102600_0_10.png,102600,0_10260_3796R1.png,0,102600_0,10
272,102600_102600_0_11.png,102600,0_10260_3796R1.png,0,102600_0,11
273,102600_102600_0_12.png,102600,0_10260_3796R1.png,0,102600_0,12
274,102600_102600_0_13.png,102600,0_10260_3796R1.png,0,102600_0,13
275,102600_102600_0_14.png,102600,0_10260_3796R1.png,0,102600_0,14
276,102600_102600_0_15.png,102600,0_10260_3796R1.png,0,102600_0,15
277,102600_102600_0_16.png,102600,0_10260_3796R1.png,0,102600_0,16
278,102600_102600_0_17.png,102600,0_10260_3796R1.png,0,102600_0,17
279,102600_102600_0_18.png,102600,0_10260_3796R1.png,0,102600_0,18
280,102600_102600_0_19.png,102600,0_10260_3796R1.png,0,102600_0,19
281,167931_167931_0_0.png,167931,0_16793_5855FV.png,1,167931_0,0
282,167931_167931_0_1.png,167931,0_16793_5855FV.png,1,167931_0,1
283,167931_167931_0_2.png,167931,0_16793_5855FV.png,1,167931_0,2
284,167931_167931_0_3.png,167931,0_16793_5855FV.png,1,167931_0,3
285,167931_167931_0_4.png,167931,0_16793_5855FV.png,1,167931_0,4
286,167931_167931_0_5.png,167931,0_16793_5855FV.png,1,167931_0,5
287,167931_167931_0_6.png,167931,0_16793_5855FV.png,1,167931_0,6
288,167931_167931_0_7.png,167931,0_16793_5855FV.png,1,167931_0,7
289,167931_167931_0_8.png,167931,0_16793_5855FV.png,1,167931_0,8
290,167931_167931_0_9.png,167931,0_16793_5855FV.png,1,167931_0,9
291,167931_167931_0_10.png,167931,0_16793_5855FV.png,1,167931_0,10
292,167931_167931_0_11.png,167931,0_16793_5855FV.png,1,167931_0,11
293,167931_167931_0_12.png,167931,0_16793_5855FV.png,1,167931_0,12
294,167931_167931_0_13.png,167931,0_16793_5855FV.png,1,167931_0,13
295,167931_167931_0_14.png,167931,0_16793_5855FV.png,1,167931_0,14
296,167931_167931_0_15.png,167931,0_16793_5855FV.png,1,167931_0,15
297,167931_167931_0_16.png,167931,0_16793_5855FV.png,1,167931_0,16
298,138960_138960_3_0.png,138960,3_13896_4801AR.png,0,138960_3,0
299,138960_138960_3_1.png,138960,3_13896_4801AR.png,0,138960_3,1
300,138960_138960_3_2.png,138960,3_13896_4801AR.png,0,138960_3,2
301,138960_138960_3_3.png,138960,3_13896_4801AR.png,0,138960_3,3
302,138960_138960_3_4.png,138960,3_13896_4801AR.png,0,138960_3,4
303,138960_138960_3_5.png,138960,3_13896_4801AR.png,0,138960_3,5
304,138960_138960_3_6.png,138960,3_13896_4801AR.png,0,138960_3,6
305,138960_138960_3_7.png,138960,3_13896_4801AR.png,0,138960_3,7
306,138960_138960_3_8.png,138960,3_13896_4801AR.png,0,138960_3,8
307,138960_138960_3_9.png,138960,3_13896_4801AR.png,0,138960_3,9
308,138960_138960_3_10.png,138960,3_13896_4801AR.png,0,138960_3,10
309,138960_138960_3_11.png,138960,3_13896_4801AR.png,0,138960_3,11
310,138960_138960_3_12.png,138960,3_13896_4801AR.png,0,138960_3,12
311,138960_138960_3_13.png,138960,3_13896_4801AR.png,0,138960_3,13
312,138960_138960_3_14.png,138960,3_13896_4801AR.png,0,138960_3,14
313,138960_138960_3_15.png,138960,3_13896_4801AR.png,0,138960_3,15
314,138960_138960_3_16.png,138960,3_13896_4801AR.png,0,138960_3,16
315,138960_138960_3_17.png,138960,3_13896_4801AR.png,0,138960_3,17
316,138960_138960_3_18.png,138960,3_13896_4801AR.png,0,138960_3,18
317,138960_138960_3_19.png,138960,3_13896_4801AR.png,0,138960_3,19
318,167101_167101_1_0.png,167101,1_16710_3520_P12_71.png,1,167101_1,0
319,167101_167101_1_1.png,167101,1_16710_3520_P12_71.png,1,167101_1,1
320,167101_167101_1_2.png,167101,1_16710_3520_P12_71.png,1,167101_1,2
321,167101_167101_1_3.png,167101,1_16710_3520_P12_71.png,1,167101_1,3
322,167101_167101_1_4.png,167101,1_16710_3520_P12_71.png,1,167101_1,4
323,167101_167101_1_5.png,167101,1_16710_3520_P12_71.png,1,167101_1,5
324,167101_167101_1_6.png,167101,1_16710_3520_P12_71.png,1,167101_1,6
325,167101_167101_1_7.png,167101,1_16710_3520_P12_71.png,1,167101_1,7
326,167101_167101_1_8.png,167101,1_16710_3520_P12_71.png,1,167101_1,8
327,167101_167101_1_9.png,167101,1_16710_3520_P12_71.png,1,167101_1,9
328,167101_167101_1_10.png,167101,1_16710_3520_P12_71.png,1,167101_1,10
329,167101_167101_1_11.png,167101,1_16710_3520_P12_71.png,1,167101_1,11
330,167101_167101_1_12.png,167101,1_16710_3520_P12_71.png,1,167101_1,12
331,167101_167101_1_13.png,167101,1_16710_3520_P12_71.png,1,167101_1,13
332,167101_167101_1_14.png,167101,1_16710_3520_P12_71.png,1,167101_1,14
333,167101_167101_1_15.png,167101,1_16710_3520_P12_71.png,1,167101_1,15
334,167101_167101_1_16.png,167101,1_16710_3520_P12_71.png,1,167101_1,16
335,167101_167101_1_17.png,167101,1_16710_3520_P12_71.png,1,167101_1,17
336,167101_167101_1_18.png,167101,1_16710_3520_P12_71.png,1,167101_1,18
337,167101_167101_1_19.png,167101,1_16710_3520_P12_71.png,1,167101_1,19
338,93090_93090_0_0.png,93090,0_9309_2566R.png,0,93090_0,0
339,93090_93090_0_1.png,93090,0_9309_2566R.png,0,93090_0,1
340,93090_93090_0_2.png,93090,0_9309_2566R.png,0,93090_0,2
341,93090_93090_0_3.png,93090,0_9309_2566R.png,0,93090_0,3
342,93090_93090_0_4.png,93090,0_9309_2566R.png,0,93090_0,4
343,93090_93090_0_5.png,93090,0_9309_2566R.png,0,93090_0,5
344,93090_93090_0_6.png,93090,0_9309_2566R.png,0,93090_0,6
345,93090_93090_0_7.png,93090,0_9309_2566R.png,0,93090_0,7
346,93090_93090_0_8.png,93090,0_9309_2566R.png,0,93090_0,8
347,93090_93090_0_9.png,93090,0_9309_2566R.png,0,93090_0,9
348,93090_93090_0_10.png,93090,0_9309_2566R.png,0,93090_0,10
349,93090_93090_0_11.png,93090,0_9309_2566R.png,0,93090_0,11
350,93090_93090_0_12.png,93090,0_9309_2566R.png,0,93090_0,12
351,93090_93090_0_13.png,93090,0_9309_2566R.png,0,93090_0,13
352,140160_140160_7_0.png,140160,7_14016_4914BR.png,0,140160_7,0
353,140160_140160_7_1.png,140160,7_14016_4914BR.png,0,140160_7,1
354,141381_141381_15_0.png,141381,15_14138_5188GV.png,1,141381_15,0
355,141381_141381_15_1.png,141381,15_14138_5188GV.png,1,141381_15,1
356,141381_141381_15_2.png,141381,15_14138_5188GV.png,1,141381_15,2
357,141381_141381_15_3.png,141381,15_14138_5188GV.png,1,141381_15,3
358,141381_141381_15_4.png,141381,15_14138_5188GV.png,1,141381_15,4
359,141381_141381_15_5.png,141381,15_14138_5188GV.png,1,141381_15,5
360,141381_141381_15_6.png,141381,15_14138_5188GV.png,1,141381_15,6
361,141381_141381_15_7.png,141381,15_14138_5188GV.png,1,141381_15,7
362,141381_141381_15_8.png,141381,15_14138_5188GV.png,1,141381_15,8
363,141381_141381_15_9.png,141381,15_14138_5188GV.png,1,141381_15,9
364,141381_141381_15_10.png,141381,15_14138_5188GV.png,1,141381_15,10
365,141381_141381_15_11.png,141381,15_14138_5188GV.png,1,141381_15,11
