,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
11,11457,4415,18146,13908,13908,11457,18146,13520,10769,4415,13528,4415,13908,18146,18146,14728,4415,4415,13908,13908,13908,13886,13886,11084,13528,13202,11457,13090,13886,13908,4415,13574,13071,13090,14005,13908,13886,14728,13886,4415,4415,13090,4415,4415,13886,10842,4415,4415,13574,13528,13090,13574,13334,8644,12187,18146,4415,11457,18146,13886,13202,13972,13908,4415,13886,13908,13334,17850,13090,8644,18532,13886,8644,4415,13908,18146,4415,10842,13574,13090,4415,13528,4415,13466,11457,10769,14728,13202,13090,13071,13908,12187,13886,13071,13071,11457,14728,5126,10769,18146
12,13908,13908,13520,18146,11457,4415,13908,13528,4415,13886,13908,13908,13908,13886,4415,18146,4415,4415,4415,13886,13908,13886,4415,13528,13574,4415,13071,4415,13908,18146,13202,13886,13528,13886,13886,13574,4415,10769,13886,18146,14728,4415,4415,13886,13090,13202,14005,13908,4415,13071,13886,4415,11457,13908,13886,13090,4415,4415,13886,4415,13090,4415,18146,13908,13886,4415,11457,18146,13908,13090,4415,4415,13886,14728,13090,4415,14005,13071,13886,18146,13908,13972,4415,13886,13071,4415,13886,13886,11457,13071,4415,11084,13202,4415,13886,4415,4415,13334,13908,13071
13,11457,4415,18146,11457,13908,10769,13908,18146,13520,4415,13528,4415,18146,18146,13908,4415,14728,4415,13908,11084,13908,13886,13908,13886,13528,13202,11457,13908,13090,13886,4415,13090,12187,13071,8644,10842,13574,14728,4415,13574,13334,8644,4415,14005,8644,13886,13090,13908,4415,4415,10842,13886,18146,18146,13090,18532,4415,11457,13202,13886,4415,13528,13972,13090,13574,10769,4415,4415,13334,11457,13908,10769,4415,13574,13090,5126,13886,4415,13528,14728,4415,13886,18146,13908,12187,17850,13886,10769,13574,13908,13466,18146,4415,4415,13071,8644,13202,4415,11457,13071
14,4415,4415,18146,4415,13520,13908,13908,13908,4415,4415,18146,13528,4415,4415,4415,13886,11457,4415,4415,18146,13886,4415,4415,13090,13886,13886,13908,4415,13090,4415,10769,13202,13908,4415,4415,4415,13972,13528,13886,4415,4415,4415,10842,4415,13202,13886,10945,13886,13908,4415,13908,10842,11084,13090,4415,4415,12795,13886,13574,4415,10769,13520,13908,13886,13886,13071,5126,13908,10769,13574,13090,13908,13090,13520,13886,13574,13886,4415,10945,18146,10769,13908,13466,11457,10769,12187,13202,13466,14728,13886,13466,10769,10842,14728,13886,13574,4415,11083,4415,13886
15,4415,11457,18146,10769,18146,13908,11457,13520,18146,11084,13908,4415,18146,4415,13528,13908,13908,4415,4415,14728,8644,8644,13908,8644,13334,13908,13202,10842,12187,13886,13528,13908,10842,13090,11457,13090,4415,13886,13574,4415,5126,14728,4415,13090,18146,18532,10769,13886,8644,4415,4415,4415,4415,13071,13090,18146,13886,13574,11457,13090,13574,10769,13908,13886,13908,13528,10769,4415,13090,14728,13334,10945,13528,13574,11457,13202,13886,8644,13972,13574,4415,4415,4415,14005,11083,4415,13071,4415,13886,10842,14728,11083,4415,13466,8644,18146,13886,17850,11083,10769
16,4415,11457,18146,11457,10769,8644,11084,18146,4415,8644,18146,18146,8644,12187,13528,13908,13520,13908,8644,10769,13908,14728,4415,5126,11457,10842,13334,14728,4415,8644,10842,12187,4415,10769,10769,8644,13908,10769,12187,10769,13574,11457,8644,18532,5126,14728,10945,13908,4415,4415,13090,4415,13886,8644,13090,5126,11083,18146,5126,5126,10769,10769,18146,13574,13202,13574,13528,13908,12187,10945,5126,18146,13886,11457,11083,8644,13908,18146,5126,10842,13574,4415,8644,8644,10842,13528,10769,13972,5126,13090,13090,14005,10842,13202,4415,8644,13090,13886,5126,12187
17,11457,4415,18146,11457,10769,13908,13908,13528,4415,18146,13520,18146,4415,14728,13908,4415,4415,11084,13908,18146,13908,13528,13886,13090,13908,11457,4415,13202,14728,13908,13886,12187,13886,8644,13334,13090,10842,13071,13574,13574,4415,4415,8644,8644,14005,4415,10842,18532,4415,14728,13886,11457,13886,4415,13090,5126,10769,13574,13886,13090,13908,18146,13528,18146,13202,13972,10769,13090,12187,11457,13334,4415,4415,4415,13574,4415,13090,13574,13908,13886,13528,4415,13466,4415,17850,10769,4415,13071,13908,8644,13908,4415,14728,11084,13886,13886,18146,11457,13071,18146
18,4415,11457,18146,11457,10769,13908,18146,13908,13528,13520,4415,18146,4415,11084,18146,14728,13908,4415,4415,13908,13908,8644,12187,13886,11457,8644,13528,13090,13908,14728,8644,13202,13334,10842,13090,4415,13908,13574,13886,5126,4415,10842,13886,13574,13071,4415,11457,4415,18532,13090,10769,4415,14728,18146,13574,10769,18146,4415,8644,4415,14005,13886,13090,13574,12187,13528,13090,13886,10769,11457,13334,13886,13090,13972,13202,4415,13908,4415,13908,13466,13528,4415,13574,4415,14728,11084,17850,13886,13071,8644,4415,10945,4415,4415,11457,13908,11083,5126,12187,13886
19,11457,13908,13908,4415,4415,18146,13520,13908,13528,18146,4415,4415,4415,10769,11457,13886,13908,14728,18146,13528,13908,13886,13908,13908,18146,13071,13886,13202,4415,4415,4415,13574,13090,13886,4415,13886,4415,13574,4415,13886,13528,13908,13908,11457,13886,14005,13886,13886,11084,4415,4415,13090,13908,13090,13908,13071,4415,4415,4415,13202,13886,4415,13908,13972,13090,13886,13090,13886,4415,13886,18146,13071,14728,13466,18146,4415,13071,14728,4415,13334,17850,18146,13574,13202,13886,11457,4415,13528,18532,13908,10842,4415,4415,13090,4415,11457,13090,13071,4415,13071
20,13908,13908,4415,13908,13908,11457,13528,13886,13520,13886,13908,13908,4415,13886,13090,13886,4415,13574,13528,13908,13886,13908,14728,13071,4415,13886,4415,13528,4415,13886,4415,13886,13886,13090,13071,11457,4415,13202,14728,18146,13908,4415,13886,13071,13908,4415,13886,4415,4415,13886,13071,4415,4415,13908,13090,4415,11457,13218,14005,4415,13247,13886,13334,13202,13886,13071,4415,4415,18146,11457,13908,13071,13259,17850,4415,13466,14005,4415,4415,13090,13466,13886,13202,13574,13574,13886,4415,13886,18146,11457,13247,11457,11457,10769,13886,13202,13528,4415,13574,13886
21,11457,4415,13908,13908,18146,4415,11457,13528,13520,18146,10769,13908,14728,4415,4415,4415,18146,18146,13908,13886,13908,13528,13908,13090,13886,13202,11457,13886,13908,4415,11084,13071,13574,13908,14005,13886,13090,13886,4415,4415,13886,4415,4415,14728,13574,13528,4415,13090,4415,4415,13908,13886,13886,4415,13574,13090,11457,13886,10842,17850,13908,13972,13908,13334,4415,18146,13202,13334,13071,13090,13071,4415,13908,12187,18532,13466,13202,18146,8644,4415,13090,14728,18146,13528,13574,13071,4415,13886,13090,14728,4415,11457,4415,13886,11457,18146,8644,4415,8644,10842
22,11457,4415,13908,13908,13520,18146,18146,4415,11457,13528,13908,10769,14728,4415,4415,18146,4415,13886,18146,13908,13908,13528,13886,13090,13886,13202,11457,13908,13908,13071,13574,4415,13908,14005,13886,13886,4415,4415,13886,11084,13090,4415,13574,13528,4415,13090,13886,13090,13908,4415,13886,14728,13886,4415,4415,11457,17850,4415,4415,13908,18146,18146,13090,13574,13972,13908,13071,10842,13202,13334,13202,13071,18146,13886,14728,13908,4415,13090,4415,13334,4415,13466,13886,11457,11457,13886,13071,18532,18146,13528,13574,4415,13090,12187,8644,13886,13247,4415,14728,4415
23,11457,13908,13908,4415,4415,13908,13520,13528,11457,18146,18146,4415,13908,4415,4415,13886,10769,14728,13908,13886,13528,13090,13202,13886,13071,13886,4415,13908,18146,13886,4415,4415,4415,4415,4415,13528,11457,13908,4415,18146,13886,13090,13090,13574,13886,4415,13090,13908,13908,13908,13886,4415,13334,13908,13202,13908,13972,13574,14005,13886,4415,11457,13071,13886,13090,14728,4415,13574,4415,13071,11084,13886,13090,4415,13071,13886,13886,14728,13574,17850,4415,4415,10842,13071,13466,11457,13090,13202,18146,13886,4415,11084,4415,4415,13466,18146,13574,4415,13247,13466
