,Unnamed: 0,image,label,original_image,train,test,val,fragment,patchpixelcm,patch
15805,40575,0_10_14085_5031BR.jpg,14085,10_14085_5031BR.png,False,True,False,10,,0
15810,40595,0_7_13912_4803FV.jpg,13912,7_13912_4803FV.png,False,True,False,7,,0
15815,40605,0_2_15216_6412DR.jpg,15216,2_15216_6412DR.png,False,True,False,2,,0
15820,40610,0_6_13883_4797BR.jpg,13883,6_13883_4797BR.png,False,True,False,6,,0
15825,40625,0_0_12559_4405IR.jpg,12559,0_12559_4405IR.png,False,True,False,0,,0
15830,40635,0_0_10693_4096EV.jpg,10693,0_10693_4096EV.png,False,True,False,0,,0
15835,40655,0_0_13421_4495FR.jpg,13421,0_13421_4495FR.png,False,True,False,0,,0
15840,40665,0_3_13912_4803FR.jpg,13912,3_13912_4803FR.png,False,True,False,3,,0
15845,40670,0_4_14085_5031BR.jpg,14085,4_14085_5031BR.png,False,True,False,4,,0
15850,40675,0_2_15089_6391HR.jpg,15089,2_15089_6391HR.png,False,True,False,2,,0
15855,40690,0_0_11052_4115BR.jpg,11052,0_11052_4115BR.png,False,True,False,0,,0
15860,40700,0_2_13883_4797BV.jpg,13883,2_13883_4797BV.png,False,True,False,2,,0
15865,40710,0_2_4009_1038R.jpg,4009,2_4009_1038R.png,False,True,False,2,,0
15870,40725,0_1_4950_398AR.jpg,4950,1_4950_398AR.png,False,True,False,1,,0
15875,40760,0_2_8598_2152R.jpg,8598,2_8598_2152R.png,False,True,False,2,,0
15880,40770,0_4_14494_5694HR.jpg,14494,4_14494_5694HR.png,False,True,False,4,,0
15885,40780,0_0_4950_398AV.jpg,4950,0_4950_398AV.png,False,True,False,0,,0
15890,40785,0_0_11096_4120IR.jpg,11096,0_11096_4120IR.png,False,True,False,0,,0
15895,40800,0_2_14084_5028BR.jpg,14084,2_14084_5028BR.png,False,True,False,2,,0
15900,40820,0_0_12840_4419DR.jpg,12840,0_12840_4419DR.png,False,True,False,0,,0
15905,40845,0_3_14727_6613V.jpg,14727,3_14727_6613V.png,False,True,False,3,,0
15910,40870,0_2_12771_4428ER.jpg,12771,2_12771_4428ER.png,False,True,False,2,,0
15915,40875,0_8_13912_4803FR.jpg,13912,8_13912_4803FR.png,False,True,False,8,,0
15920,40880,0_0_12742_4424GV.jpg,12742,0_12742_4424GV.png,False,True,False,0,,0
15925,40895,0_2_17858_6941V.jpg,17858,2_17858_6941V.png,False,True,False,2,,0
15930,40900,0_0_10736_4097Z4V.jpg,10736,0_10736_4097Z4V.png,False,True,False,0,,0
15935,40925,0_0_4660_1835R.jpg,4660,0_4660_1835R.png,False,True,False,0,,0
15940,40950,0_0_10980_4110AR.jpg,10980,0_10980_4110AR.png,False,True,False,0,,0
15945,40970,0_0_12672_4416HV.jpg,12672,0_12672_4416HV.png,False,True,False,0,,0
15950,40990,0_1_13979_4877DV.jpg,13979,1_13979_4877DV.png,False,True,False,1,,0
15955,40995,0_2_13070_4456BR.jpg,13070,2_13070_4456BR.png,False,True,False,2,,0
15960,41005,0_0_10824_4102FV.jpg,10824,0_10824_4102FV.png,False,True,False,0,,0
15965,41025,0_1_13826_4727ER.jpg,13826,1_13826_4727ER.png,False,True,False,1,,0
15970,41045,0_0_13909_4800DV.jpg,13909,0_13909_4800DV.png,False,True,False,0,,0
15975,41060,0_0_11282_4130CR.jpg,11282,0_11282_4130CR.png,False,True,False,0,,0
15980,41070,0_0_11792_4188R.jpg,11792,0_11792_4188R.png,False,True,False,0,,0
15985,41080,0_2_13918_4807FR.jpg,13918,2_13918_4807FR.png,False,True,False,2,,0
15990,41085,0_0_12376_3929FV.jpg,12376,0_12376_3929FV.png,False,True,False,0,,0
15995,41090,0_4_13873_4761DR.jpg,13873,4_13873_4761DR.png,False,True,False,4,,0
16000,41095,0_5_13958_4873BR.jpg,13958,5_13958_4873BR.png,False,True,False,5,,0
16005,41105,0_0_13682_4524HR.jpg,13682,0_13682_4524HR.png,False,True,False,0,,0
16010,41115,0_2_10253_3784IV.jpg,10253,2_10253_3784IV.png,False,True,False,2,,0
16015,41125,0_0_10813_4101LV.jpg,10813,0_10813_4101LV.png,False,True,False,0,,0
16020,41130,0_0_13919_4807GR.jpg,13919,0_13919_4807GR.png,False,True,False,0,,0
16025,41140,0_0_18445_7187R.jpg,18445,0_18445_7187R.png,False,True,False,0,,0
16030,41165,0_6_13918_4807FV.jpg,13918,6_13918_4807FV.png,False,True,False,6,,0
16035,41175,0_1_13958_4873BV.jpg,13958,1_13958_4873BV.png,False,True,False,1,,0
16040,41180,0_0_13873_4761DV.jpg,13873,0_13873_4761DV.png,False,True,False,0,,0
16045,41200,0_0_5164_5578_7R.jpg,5164,0_5164_5578_7R.png,False,True,False,0,,0
16050,41220,0_1_14084_5028BV.jpg,14084,1_14084_5028BV.png,False,True,False,1,,0
16055,41225,0_0_12698_4418LV.jpg,12698,0_12698_4418LV.png,False,True,False,0,,0
16060,41230,0_0_18531_7205V.jpg,18531,0_18531_7205V.png,False,True,False,0,,0
16065,41240,0_3_14494_5694HR.jpg,14494,3_14494_5694HR.png,False,True,False,3,,0
16070,41245,0_0_16635_3520_P32_49.jpg,16635,0_16635_3520_P32_49.png,False,True,False,0,,0
16075,41275,0_0_17858_6941R.jpg,17858,0_17858_6941R.png,False,True,False,0,,0
16080,41300,0_0_11602_4160DR.jpg,11602,0_11602_4160DR.png,False,True,False,0,,0
16085,41310,0_0_18518_6819AR.jpg,18518,0_18518_6819AR.png,False,True,False,0,,0
16090,41330,0_2_16600_3520_P37_44.jpg,16600,2_16600_3520_P37_44.png,False,True,False,2,,0
16095,41345,0_1_13966_4874BV.jpg,13966,1_13966_4874BV.png,False,True,False,1,,0
16100,41365,0_10_13912_4803FR.jpg,13912,10_13912_4803FR.png,False,True,False,10,,0
16105,41370,0_0_1442_1454R.jpg,1442,0_1442_1454R.png,False,True,False,0,,0
16110,41380,0_1_12186_4276AR.jpg,12186,1_12186_4276AR.png,False,True,False,1,,0
16115,41385,0_0_13912_4803FV.jpg,13912,0_13912_4803FV.png,False,True,False,0,,0
16120,41390,0_4_10064_3570B2R.jpg,10064,4_10064_3570B2R.png,False,True,False,4,,0
16125,41405,0_5_15216_6412DR.jpg,15216,5_15216_6412DR.png,False,True,False,5,,0
16130,41420,0_1_13883_4797BR.jpg,13883,1_13883_4797BR.png,False,True,False,1,,0
16135,41425,0_2_12724_4420DR.jpg,12724,2_12724_4420DR.png,False,True,False,2,,0
16140,41450,0_1_10262_3796V2.jpg,10262,1_10262_3796V2.png,False,True,False,1,,0
16145,41460,0_1_16637_3520_P31_50.jpg,16637,1_16637_3520_P31_50.png,False,True,False,1,,0
16150,41475,0_1_1442_1454V.jpg,1442,1_1442_1454V.png,False,True,False,1,,0
16155,41480,0_3_14085_5031BR.jpg,14085,3_14085_5031BR.png,False,True,False,3,,0
16160,41485,0_4_13912_4803FR.jpg,13912,4_13912_4803FR.png,False,True,False,4,,0
16165,41495,0_1_15216_6412DV.jpg,15216,1_15216_6412DV.png,False,True,False,1,,0
16170,41500,0_5_13883_4797BV.jpg,13883,5_13883_4797BV.png,False,True,False,5,,0
16175,41510,0_0_12955_4442ER.jpg,12955,0_12955_4442ER.png,False,True,False,0,,0
16180,41520,0_0_12829_4433KV.jpg,12829,0_12829_4433KV.png,False,True,False,0,,0
16185,41525,0_0_18331_7110V.jpg,18331,0_18331_7110V.png,False,True,False,0,,0
16190,41545,0_3_13919_4807GV.jpg,13919,3_13919_4807GV.png,False,True,False,3,,0
16195,41570,0_5_13918_4807FR.jpg,13918,5_13918_4807FR.png,False,True,False,5,,0
16200,41580,0_2_13958_4873BR.jpg,13958,2_13958_4873BR.png,False,True,False,2,,0
16205,41595,0_3_13873_4761DR.jpg,13873,3_13873_4761DR.png,False,True,False,3,,0
16210,41625,0_0_10766_4098BR.jpg,10766,0_10766_4098BR.png,False,True,False,0,,0
16215,41640,0_0_18387_7149R.jpg,18387,0_18387_7149R.png,False,True,False,0,,0
16220,41660,0_1_13918_4807FV.jpg,13918,1_13918_4807FV.png,False,True,False,1,,0
16225,41665,0_7_13873_4761DV.jpg,13873,7_13873_4761DV.png,False,True,False,7,,0
16230,41670,0_6_13958_4873BV.jpg,13958,6_13958_4873BV.png,False,True,False,6,,0
16235,41675,0_1_12121_4262R.jpg,12121,1_12121_4262R.png,False,True,False,1,,0
16240,41680,0_0_10936_4106RR.jpg,10936,0_10936_4106RR.png,False,True,False,0,,0
16245,41685,0_0_11699_4169CV.jpg,11699,0_11699_4169CV.png,False,True,False,0,,0
16250,41695,0_1_11152_4123NR.jpg,11152,1_11152_4123NR.png,False,True,False,1,,0
16255,41700,0_8_14085_5031BR.jpg,14085,8_14085_5031BR.png,False,True,False,8,,0
16260,41705,0_1_14727_6613R.jpg,14727,1_14727_6613R.png,False,True,False,1,,0
16265,41720,0_0_11131_4122RR.jpg,11131,0_11131_4122RR.png,False,True,False,0,,0
16270,41730,0_2_13979_4877DR.jpg,13979,2_13979_4877DR.png,False,True,False,2,,0
16275,41735,0_1_10064_3570B2R.jpg,10064,1_10064_3570B2R.png,False,True,False,1,,0
16280,41740,0_1_10262_3796V1.jpg,10262,1_10262_3796V1.png,False,True,False,1,,0
16285,41745,0_2_14160_5240DR.jpg,14160,2_14160_5240DR.png,False,True,False,2,,0
16290,41770,0_2_16616_3520_P18_65.jpg,16616,2_16616_3520_P18_65.png,False,True,False,2,,0
16295,41795,0_1_11183_4124PV.jpg,11183,1_11183_4124PV.png,False,True,False,1,,0
16300,41800,0_0_4309_3544R.jpg,4309,0_4309_3544R.png,False,True,False,0,,0
16305,41815,0_0_17371_6756AR.jpg,17371,0_17371_6756AR.png,False,True,False,0,,0
16310,41825,0_0_4309_3544V.jpg,4309,0_4309_3544V.png,False,True,False,0,,0
16315,41855,0_1_12771_4428ER.jpg,12771,1_12771_4428ER.png,False,True,False,1,,0
16320,41880,0_1_13070_4456BR.jpg,13070,1_13070_4456BR.png,False,True,False,1,,0
16325,41890,0_5_11183_4124PV.jpg,11183,5_11183_4124PV.png,False,True,False,5,,0
16330,41910,0_2_13979_4877DV.jpg,13979,2_13979_4877DV.png,False,True,False,2,,0
16335,41920,0_0_12550_4405CR.jpg,12550,0_12550_4405CR.png,False,True,False,0,,0
16340,41925,0_0_11131_4122RV.jpg,11131,0_11131_4122RV.png,False,True,False,0,,0
16345,41935,0_1_14727_6613V.jpg,14727,1_14727_6613V.png,False,True,False,1,,0
16350,41945,0_0_11699_4169CR.jpg,11699,0_11699_4169CR.png,False,True,False,0,,0
16355,41950,0_0_10936_4106RV.jpg,10936,0_10936_4106RV.png,False,True,False,0,,0
16360,41970,0_6_12121_4262R.jpg,12121,6_12121_4262R.png,False,True,False,6,,0
16365,41975,0_1_13918_4807FR.jpg,13918,1_13918_4807FR.png,False,True,False,1,,0
16370,41985,0_1_12537_4404ZV.jpg,12537,1_12537_4404ZV.png,False,True,False,1,,0
16375,41990,0_6_13958_4873BR.jpg,13958,6_13958_4873BR.png,False,True,False,6,,0
16380,41995,0_7_13873_4761DR.jpg,13873,7_13873_4761DR.png,False,True,False,7,,0
16385,42000,0_0_18387_7149V.jpg,18387,0_18387_7149V.png,False,True,False,0,,0
16390,42040,0_3_11462_4148AR.jpg,11462,3_11462_4148AR.png,False,True,False,3,,0
16395,42050,0_2_16599_3520_P38_43.jpg,16599,2_16599_3520_P38_43.png,False,True,False,2,,0
16400,42060,0_0_10766_4098BV.jpg,10766,0_10766_4098BV.png,False,True,False,0,,0
16405,42065,0_2_13826_4727ER.jpg,13826,2_13826_4727ER.png,False,True,False,2,,0
16410,42075,0_5_13918_4807FV.jpg,13918,5_13918_4807FV.png,False,True,False,5,,0
16415,42080,0_3_13873_4761DV.jpg,13873,3_13873_4761DV.png,False,True,False,3,,0
16420,42090,0_2_13958_4873BV.jpg,13958,2_13958_4873BV.png,False,True,False,2,,0
16425,42105,0_1_10253_3784IV.jpg,10253,1_10253_3784IV.png,False,True,False,1,,0
16430,42115,0_3_13919_4807GR.jpg,13919,3_13919_4807GR.png,False,True,False,3,,0
16435,42130,0_0_18331_7110R.jpg,18331,0_18331_7110R.png,False,True,False,0,,0
16440,42150,0_3_13682_4524HR.jpg,13682,3_13682_4524HR.png,False,True,False,3,,0
16445,42170,0_1_15216_6412DR.jpg,15216,1_15216_6412DR.png,False,True,False,1,,0
16450,42185,0_5_13883_4797BR.jpg,13883,5_13883_4797BR.png,False,True,False,5,,0
16455,42205,0_4_13912_4803FV.jpg,13912,4_13912_4803FV.png,False,True,False,4,,0
16460,42210,0_1_1442_1454R.jpg,1442,1_1442_1454R.png,False,True,False,1,,0
16465,42225,0_0_16616_3520_P18_65.jpg,16616,0_16616_3520_P18_65.png,False,True,False,0,,0
16470,42230,0_2_12724_4420DV.jpg,12724,2_12724_4420DV.png,False,True,False,2,,0
16475,42240,0_5_15216_6412DV.jpg,15216,5_15216_6412DV.png,False,True,False,5,,0
16480,42245,0_1_13883_4797BV.jpg,13883,1_13883_4797BV.png,False,True,False,1,,0
16485,42260,0_0_1442_1454V.jpg,1442,0_1442_1454V.png,False,True,False,0,,0
